FileName,institutionCode,collectionCode,catalogueNumber,class,order,family,genus,specificEpithet,infraspecificEpithet,sex,lifeStage,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,verbatimElevation,eventDate,measurementDeterminedDate,Patch,LightAngle1,LightAngle2,ProbeAngle1,ProbeAngle2,Replicate,Comments
AMNH_103040.00000001,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,throat,0,0,0,0,1,
AMNH_103040.00000002,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,throat,0,0,0,0,2,
AMNH_103040.00000003,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,throat,0,0,0,0,3,
AMNH_103040.00000004,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,throat,0,0,0,0,4,
AMNH_103040.00000005,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,throat,0,0,0,0,5,
AMNH_103040.00000006,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,breast,0,0,0,0,1,
AMNH_103040.00000007,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,breast,0,0,0,0,2,
AMNH_103040.00000008,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,breast,0,0,0,0,3,
AMNH_103040.00000009,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,breast,0,0,0,0,4,
AMNH_103040.00000010,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,breast,0,0,0,0,5,
AMNH_103040.00000011,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,belly,0,0,0,0,1,
AMNH_103040.00000012,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,belly,0,0,0,0,2,
AMNH_103040.00000013,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,belly,0,0,0,0,3,
AMNH_103040.00000014,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,belly,0,0,0,0,4,
AMNH_103040.00000015,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,belly,0,0,0,0,5,
AMNH_103040.00000016,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,upper tail coverts,0,0,0,0,1,
AMNH_103040.00000017,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,upper tail coverts,0,0,0,0,2,
AMNH_103040.00000018,AMNH,birds skins,103040,Aves,Passeriformes,Passerellidae,Melozone,leucotis,nigrior,Male,Adult,Nicaragua,Chontales,,,,,,,upper tail coverts,0,0,0,0,3,
